date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:56	159464/159464	---M--	200	added ('OK')	image/jpeg	etag:%2222823af-26ee8-5a008c7b0f980%22	https://bendarby.co.uk/assets/img/gnr-main.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-main.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:32:57	314045/314045	---M--	200	added ('OK')	image/jpeg	etag:%2222823b2-4cabd-5a008c7c03bc0%22	https://bendarby.co.uk/assets/img/gnr-work-2.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-work-2.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:32:58	507224/507224	---M--	200	added ('OK')	image/jpeg	etag:%2222823b0-7bd58-5a008c7c03bc0%22	https://bendarby.co.uk/assets/img/gnr-preview.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-preview.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:00	361833/361833	---M--	200	added ('OK')	image/jpeg	etag:%2222823b3-58569-5a008c7c03bc0%22	https://bendarby.co.uk/assets/img/gnr-work-3.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-work-3.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202023%2009:03:00%20GMT	https://bendarby.co.uk/work/global-nutrition-report/js/vendor/jquery-2.1.4.min.js	D:/NEW/ew4few/bendarby.co.uk/work/global-nutrition-report/js/vendor/jquery-2.1.4.min.js	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:03	231345/231345	---M--	200	added ('OK')	image/jpeg	etag:%2222823b1-387b1-5a008c7c03bc0%22	https://bendarby.co.uk/assets/img/gnr-work-1.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-work-1.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:04	855330/855330	---M--	200	added ('OK')	image/jpeg	etag:%2222823ac-d0d22-5a008c7b0f980%22	https://bendarby.co.uk/assets/img/gnr-full.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-full.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:04	349243/349243	---M--	200	added ('OK')	image/jpeg	etag:%22228236d-5543b-5a1c0fe03adc0%22	https://bendarby.co.uk/assets/img/arc-main.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-main.jpg	(from https://bendarby.co.uk/work/arc-west/)
14:33:05	241029/241029	---M--	200	added ('OK')	image/jpeg	etag:%2222823b4-3ad85-5a008c7c03bc0%22	https://bendarby.co.uk/assets/img/gnr-work-4.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-work-4.jpg	(from https://bendarby.co.uk/work/global-nutrition-report/)
14:33:12	619952/619952	---M--	200	added ('OK')	image/png	etag:%222282373-975b0-5a1c0fe03adc0%22	https://bendarby.co.uk/assets/img/arc-mobile.png	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-mobile.png	(from https://bendarby.co.uk/work/arc-west/)
14:33:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202023%2009:03:12%20GMT	https://bendarby.co.uk/work/arc-west/js/vendor/jquery-2.1.4.min.js	D:/NEW/ew4few/bendarby.co.uk/work/arc-west/js/vendor/jquery-2.1.4.min.58.delayed	(from https://bendarby.co.uk/work/arc-west/)
14:33:13	808380/808380	---M--	200	added ('OK')	image/png	etag:%222282372-c55bc-5a1c0fe03adc0%22	https://bendarby.co.uk/assets/img/arc-mobile-2.png	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-mobile-2.png	(from https://bendarby.co.uk/work/arc-west/)
14:33:13	778473/778473	---M--	200	added ('OK')	image/jpeg	etag:%222282384-be0e9-5a1c0fe03adc0%22	https://bendarby.co.uk/assets/img/arc-preview.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-preview.jpg	(from https://bendarby.co.uk/work/arc-west/)
14:33:14	787664/787664	---M--	200	added ('OK')	image/jpeg	etag:%222282369-c04d0-5a1c0fe03adc0%22	https://bendarby.co.uk/assets/img/arc-full.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-full.jpg	(from https://bendarby.co.uk/work/arc-west/)
